"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试批量新增果品功能","6523","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10767","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7951","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11198","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5849","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","6635","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15001","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10796","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7894","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15304","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6164","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5916","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7912","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9182","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"Bug测试2：搜索存在的'荔枝'，但断言页面提示'无数据'","8429","Bug_Search_Null: 搜索结果校验","test_cases.web","2026-01-13","failed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10477","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7919","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10796","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6065","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6417","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11320","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10393","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14847","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15088","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15139","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5340","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6289","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11160","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7667","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10817","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15205","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14881","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6318","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15159","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5782","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11221","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11799","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","14379","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15119","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10488","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7857","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5987","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6281","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5873","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15074","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5428","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15042","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9004","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11837","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6228","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14812","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5813","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","17138","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5647","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5837","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11451","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15015","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8809","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8077","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11331","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11570","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8827","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","12037","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8254","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14873","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11142","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14963","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","11869","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5917","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6132","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6223","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9259","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5580","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8089","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11986","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14721","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8369","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9645","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","12712","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15763","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11281","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7908","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14825","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10552","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14764","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14141","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10188","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6379","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14859","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","12333","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9368","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15252","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7933","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8224","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6651","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5249","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6133","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6095","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9726","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15049","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15047","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9269","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14514","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5934","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5988","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5414","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7707","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","6612","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9531","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8046","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6289","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5518","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8301","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11835","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14827","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11495","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6054","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10855","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6212","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11209","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10231","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15092","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7727","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5768","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15308","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6266","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8014","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15207","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"Bug测试3：新增成功，但断言出现'服务器异常'","15874","Bug_Save_Fail: 新增保存校验","test_cases.web","2026-01-13","failed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6514","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15533","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9059","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15194","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5847","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15235","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7833","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15131","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6148","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","12052","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5747","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15002","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6119","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15101","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6583","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11015","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15706","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8136","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6055","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8034","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11653","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8417","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6472","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8334","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15047","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5797","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8170","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14948","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10152","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15149","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7885","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6725","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9191","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7763","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5989","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11168","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11218","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8531","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","55485","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7953","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","12066","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7860","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9529","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8106","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14899","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7883","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","7138","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7913","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5756","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","7638","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8315","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14979","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9525","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8064","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8030","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11740","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15037","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15345","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11721","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
